Date,Euribor_3M
1994-01-01,6.91
1994-02-01,6.86
1994-03-01,6.75
1994-04-01,6.57
1994-05-01,6.24
1994-06-01,6.3
1994-07-01,6.34
1994-08-01,6.43
1994-09-01,6.38
1994-10-01,6.43
1994-11-01,6.4
1994-12-01,6.69
1995-01-01,6.66
1995-02-01,6.59
1995-03-01,7.58
1995-04-01,7.29
1995-05-01,7.04
1995-06-01,7.08
1995-07-01,6.92
1995-08-01,6.66
1995-09-01,6.5
1995-10-01,6.75
1995-11-01,6.45
1995-12-01,6.32
1996-01-01,5.81
1996-02-01,5.58
1996-03-01,5.5
1996-04-01,5.27
1996-05-01,5.06
1996-06-01,5.08
1996-07-01,5.06
1996-08-01,5.08
1996-09-01,4.86
1996-10-01,4.69
1996-11-01,4.57
1996-12-01,4.5
1997-01-01,4.39
1997-02-01,4.43
1997-03-01,4.5
1997-04-01,4.39
1997-05-01,4.3
1997-06-01,4.29
1997-07-01,4.3
1997-08-01,4.36
1997-09-01,4.31
1997-10-01,4.44
1997-11-01,4.49
1997-12-01,4.37
1998-01-01,4.26
1998-02-01,4.24
1998-03-01,4.11
1998-04-01,4.09
1998-05-01,4.06
1998-06-01,4.02
1998-07-01,3.95
1998-08-01,3.93
1998-09-01,3.93
1998-10-01,3.81
1998-11-01,3.69
1998-12-01,3.37
1999-01-01,3.1321
1999-02-01,3.0934
1999-03-01,3.0466957
1999-04-01,2.6964545
1999-05-01,2.5789524
1999-06-01,2.6266818
1999-07-01,2.6764545
1999-08-01,2.6950455
1999-09-01,2.7266818
1999-10-01,3.3756667
1999-11-01,3.4676818
1999-12-01,3.4460455
2000-01-01,3.3431429
2000-02-01,3.5367619
2000-03-01,3.7470435
2000-04-01,3.9252778
2000-05-01,4.3620455
2000-06-01,4.5017273
2000-07-01,4.5829048
2000-08-01,4.777087
2000-09-01,4.8528095
2000-10-01,5.0412727
2000-11-01,5.0919545
2000-12-01,4.9391579
2001-01-01,4.7707273
2001-02-01,4.7558
2001-03-01,4.7086364
2001-04-01,4.682
2001-05-01,4.6366818
2001-06-01,4.4535714
2001-07-01,4.4671364
2001-08-01,4.3535217
2001-09-01,3.98285
2001-10-01,3.5998696
2001-11-01,3.3856818
2001-12-01,3.3448889
2002-01-01,3.3387727
2002-02-01,3.3571
2002-03-01,3.3908
2002-04-01,3.4069048
2002-05-01,3.4671364
2002-06-01,3.464
2002-07-01,3.41
2002-08-01,3.3519091
2002-09-01,3.3101429
2002-10-01,3.2612609
2002-11-01,3.1241429
2002-12-01,2.94105
2003-01-01,2.8318182
2003-02-01,2.68745
2003-03-01,2.5299524
2003-04-01,2.53335
2003-05-01,2.4005238
2003-06-01,2.1518571
2003-07-01,2.1300435
2003-08-01,2.1404286
2003-09-01,2.1473182
2003-10-01,2.1435652
2003-11-01,2.15905
2003-12-01,2.1463333
2004-01-01,2.0894762
2004-02-01,2.07055
2004-03-01,2.0288261
2004-04-01,2.04875
2004-05-01,2.0858571
2004-06-01,2.1126818
2004-07-01,2.1160455
2004-08-01,2.1142727
2004-09-01,2.1185909
2004-10-01,2.1473333
2004-11-01,2.1703182
2004-12-01,2.1731739
2005-01-01,2.1454286
2005-02-01,2.13835
2005-03-01,2.1371905
2005-04-01,2.1372381
2005-05-01,2.1256364
2005-06-01,2.1110455
2005-07-01,2.1194286
2005-08-01,2.1324783
2005-09-01,2.1391364
2005-10-01,2.196619
2005-11-01,2.3608636
2005-12-01,2.4728571
2006-01-01,2.5116818
2006-02-01,2.60035
2006-03-01,2.7226087
2006-04-01,2.7937778
2006-05-01,2.889
2006-06-01,2.9856818
2006-07-01,3.1021905
2006-08-01,3.2264783
2006-09-01,3.335381
2006-10-01,3.502
2006-11-01,3.5971818
2006-12-01,3.6842105
2007-01-01,3.7518636
2007-02-01,3.8182
2007-03-01,3.8909091
2007-04-01,3.9752632
2007-05-01,4.0713636
2007-06-01,4.1477619
2007-07-01,4.2161818
2007-08-01,4.5436087
2007-09-01,4.7417
2007-10-01,4.6873913
2007-11-01,4.6385455
2007-12-01,4.8483684
2008-01-01,4.4815455
2008-02-01,4.3620952
2008-03-01,4.5963684
2008-04-01,4.7835
2008-05-01,4.857381
2008-06-01,4.9405238
2008-07-01,4.961
2008-08-01,4.9651905
2008-09-01,5.0191818
2008-10-01,5.113087
2008-11-01,4.2383
2008-12-01,3.292619
2009-01-01,2.4565238
2009-02-01,1.94305
2009-03-01,1.6354545
2009-04-01,1.4223
2009-05-01,1.2817
2009-06-01,1.2279091
2009-07-01,0.9749565
2009-08-01,0.8604762
2009-09-01,0.7720909
2009-10-01,0.7375
2009-11-01,0.7161905
2009-12-01,0.7120455
2010-01-01,0.67975
2010-02-01,0.6617
2010-03-01,0.6449565
2010-04-01,0.6447
2010-05-01,0.6865238
2010-06-01,0.7275909
2010-07-01,0.8488182
2010-08-01,0.8955
2010-09-01,0.8805
2010-10-01,0.9976667
2010-11-01,1.0420455
2010-12-01,1.0216957
2011-01-01,1.0172381
2011-02-01,1.08675
2011-03-01,1.1755217
2011-04-01,1.3212105
2011-05-01,1.4250909
2011-06-01,1.4885909
2011-07-01,1.597619
2011-08-01,1.552087
2011-09-01,1.5364545
2011-10-01,1.5758571
2011-11-01,1.4846818
2011-12-01,1.4260952
2012-01-01,1.2222273
2012-02-01,1.0482857
2012-03-01,0.8584545
2012-04-01,0.7443158
2012-05-01,0.6849091
2012-06-01,0.6588571
2012-07-01,0.4970455
2012-08-01,0.3323913
2012-09-01,0.2463
2012-10-01,0.207913
2012-11-01,0.192
2012-12-01,0.1854737
2013-01-01,0.2049091
2013-02-01,0.22335
2013-03-01,0.20605
2013-04-01,0.2089048
2013-05-01,0.2012273
2013-06-01,0.21025
2013-07-01,0.2214348
2013-08-01,0.2258636
2013-09-01,0.2232381
2013-10-01,0.2258261
2013-11-01,0.223381
2013-12-01,0.2735
2014-01-01,0.2920455
2014-02-01,0.2881
2014-03-01,0.3053333
2014-04-01,0.32975
2014-05-01,0.3245714
2014-06-01,0.2414286
2014-07-01,0.2050435
2014-08-01,0.1915714
2014-09-01,0.0970909
2014-10-01,0.0826087
2014-11-01,0.0809
2014-12-01,0.0809048
2015-01-01,0.0626667
2015-02-01,0.0482
2015-03-01,0.0271818
2015-04-01,0.0047
2015-05-01,-0.0103684
2015-06-01,-0.0139091
2015-07-01,-0.0187391
2015-08-01,-0.0276667
2015-09-01,-0.0370455
2015-10-01,-0.0535909
2015-11-01,-0.087619
2015-12-01,-0.1263182
2016-01-01,-0.14615
2016-02-01,-0.1835714
2016-03-01,-0.2285238
2016-04-01,-0.2491905
2016-05-01,-0.2571818
2016-06-01,-0.2679091
2016-07-01,-0.2945238
2016-08-01,-0.2982174
2016-09-01,-0.3016364
2016-10-01,-0.309
2016-11-01,-0.3126818
2016-12-01,-0.3157619
2017-01-01,-0.3255455
2017-02-01,-0.3286
2017-03-01,-0.3293478
2017-04-01,-0.3303889
2017-05-01,-0.3294545
2017-06-01,-0.33
2017-07-01,-0.3304286
2017-08-01,-0.329087
2017-09-01,-0.329381
2017-10-01,-0.3295455
2017-11-01,-0.329
2017-12-01,-0.3278947
2018-01-01,-0.3284545
2018-02-01,-0.3285
2018-03-01,-0.3279048
2018-04-01,-0.32845
2018-05-01,-0.3252273
2018-06-01,-0.3220476
2018-07-01,-0.3207273
2018-08-01,-0.319
2018-09-01,-0.31885
2018-10-01,-0.3176957
2018-11-01,-0.3163636
2018-12-01,-0.3118947
2019-01-01,-0.308
2019-02-01,-0.30845
2019-03-01,-0.3091905
2019-04-01,-0.31045
2019-05-01,-0.3118636
2019-06-01,-0.3289
2019-07-01,-0.3648696
2019-08-01,-0.4076818
2019-09-01,-0.4175714
2019-10-01,-0.4128696
2019-11-01,-0.4012857
2019-12-01,-0.3947
2020-01-01,-0.3911364
2020-02-01,-0.40885
2020-03-01,-0.4166364
2020-04-01,-0.25405
2020-05-01,-0.27195
2020-06-01,-0.376
2020-07-01,-0.4441304
2020-08-01,-0.4797143
2020-09-01,-0.4913636
2020-10-01,-0.5091364
2020-11-01,-0.5208571
2020-12-01,-0.5380909
2021-01-01,-0.54715
2021-02-01,-0.5411
2021-03-01,-0.539087
2021-04-01,-0.53815
2021-05-01,-0.5400952
2021-06-01,-0.5429091
2021-07-01,-0.5448182
2021-08-01,-0.5475909
2021-09-01,-0.5450455
2021-10-01,-0.5498095
2021-11-01,-0.5673636
2021-12-01,-0.5819565
2022-01-01,-0.5601429
2022-02-01,-0.5315
2022-03-01,-0.4954348
2022-04-01,-0.4478947
2022-05-01,-0.3857273
2022-06-01,-0.2392273
2022-07-01,0.036619
2022-08-01,0.3947391
2022-09-01,1.0108636
2022-10-01,1.4276667
2022-11-01,1.8252273
2022-12-01,2.0634762
2023-01-01,2.3448636
2023-02-01,2.64035
2023-03-01,2.9105652
2023-04-01,3.1794444
2023-05-01,3.3717273
2023-06-01,3.5358636
2023-07-01,3.6718095
2023-08-01,3.7803043
2023-09-01,3.8800476
2023-10-01,3.9676364
2023-11-01,3.9716364
2023-12-01,3.9348947
2024-01-01,3.9252727
2024-02-01,3.9231905
2024-03-01,3.9231
2024-04-01,3.8853333
2024-05-01,3.8126818
2024-06-01,3.7245
2024-07-01,3.6848261
2024-08-01,3.5475909
2024-09-01,3.4337143
2024-10-01,3.1666087
2024-11-01,3.0067619
2024-12-01,2.8246
2025-01-01,2.7042727
2025-02-01,2.52495
2025-03-01,2.4424286
2025-04-01,2.2494
2025-05-01,2.0872381
2025-06-01,1.983619
2025-07-01,1.9863478
2025-08-01,2.0210952
2025-09-01,2.0272727
2025-10-01,2.0344348
2025-11-01,2.04165
2025-12-01,2.0484286
2026-01-01,2.0277273
2026-02-01,2.0113
2026-03-01,2.1094091
2026-04-01,2.1753
2026-05-01,2.2261
2026-06-01,2.339
