Date,Prix_Ancien_Ensemble,Prix_Ancien_Appartements,Prix_Ancien_Maisons
1996-01-01,41.4,39.2,42.9
1996-04-01,41.4,38.9,43.2
1996-07-01,41.5,38.6,43.6
1996-10-01,41.9,38.6,44.5
1997-01-01,40.9,37.8,43.4
1997-04-01,41.6,37.8,44.8
1997-07-01,41.3,36.9,45.1
1997-10-01,41.8,37.1,45.9
1998-01-01,41.6,37.0,45.7
1998-04-01,42.0,37.3,46.4
1998-07-01,42.4,37.5,46.7
1998-10-01,42.9,37.9,47.4
1999-01-01,44.0,38.7,48.8
1999-04-01,44.5,39.1,49.5
1999-07-01,45.6,40.0,50.6
1999-10-01,46.5,40.9,51.6
2000-01-01,47.8,41.9,53.1
2000-04-01,48.6,42.8,54.0
2000-07-01,49.6,43.6,55.1
2000-10-01,50.4,44.2,56.0
2001-01-01,51.5,45.3,57.1
2001-04-01,52.6,46.1,58.6
2001-07-01,53.4,46.9,59.4
2001-10-01,54.4,47.9,60.3
2002-01-01,55.3,48.7,61.4
2002-04-01,56.7,50.0,62.8
2002-07-01,58.3,51.6,64.4
2002-10-01,59.9,53.2,65.9
2003-01-01,61.5,54.8,67.4
2003-04-01,63.4,56.8,69.2
2003-07-01,65.2,58.6,71.1
2003-10-01,67.5,60.6,73.5
2004-01-01,70.2,63.5,76.0
2004-04-01,72.6,65.9,78.3
2004-07-01,75.3,68.5,81.2
2004-10-01,78.2,71.3,84.1
2005-01-01,81.1,74.1,87.0
2005-04-01,84.1,77.0,90.0
2005-07-01,87.1,80.0,93.1
2005-10-01,89.8,82.4,95.9
2006-01-01,92.6,85.2,98.7
2006-04-01,95.0,87.4,101.1
2006-07-01,97.0,89.4,103.1
2006-10-01,98.7,91.1,105.0
2007-01-01,100.2,92.3,106.7
2007-04-01,101.4,93.4,108.0
2007-07-01,102.6,94.8,108.8
2007-10-01,104.1,96.6,110.1
2008-01-01,104.6,97.3,110.3
2008-04-01,104.2,97.5,109.5
2008-07-01,103.1,96.7,108.1
2008-10-01,100.2,94.8,104.4
2009-01-01,96.9,91.9,100.8
2009-04-01,94.8,89.9,98.7
2009-07-01,95.0,90.3,98.7
2009-10-01,96.1,91.5,99.6
2010-01-01,98.0,93.7,101.4
2010-04-01,99.7,95.8,102.7
2010-07-01,101.2,97.9,103.8
2010-10-01,103.4,100.4,105.6
2011-01-01,104.9,102.7,106.6
2011-04-01,106.7,105.3,107.7
2011-07-01,107.4,106.5,108.1
2011-10-01,107.2,106.8,107.6
2012-01-01,106.8,106.5,107.1
2012-04-01,106.3,106.3,106.4
2012-07-01,105.7,105.7,105.7
2012-10-01,105.1,105.3,104.9
2013-01-01,104.7,104.8,104.5
2013-04-01,104.0,104.3,103.7
2013-07-01,103.3,103.8,102.8
2013-10-01,103.2,103.5,102.9
2014-01-01,102.7,103.3,102.2
2014-04-01,102.6,102.9,102.3
2014-07-01,101.8,101.9,101.7
2014-10-01,100.6,101.0,100.2
2015-01-01,100.2,100.4,100.0
2015-04-01,99.8,99.9,99.8
2015-07-01,99.9,99.9,100.0
2015-10-01,100.1,99.9,100.3
2016-01-01,100.4,100.0,100.8
2016-04-01,100.5,100.4,100.6
2016-07-01,101.2,100.9,101.6
2016-10-01,101.6,101.5,101.7
2017-01-01,102.9,103.0,102.9
2017-04-01,103.6,104.1,103.3
2017-07-01,104.5,105.4,104.0
2017-10-01,104.9,105.9,104.2
2018-01-01,105.9,106.7,105.3
2018-04-01,106.6,107.4,106.1
2018-07-01,107.7,109.0,106.8
2018-10-01,108.3,109.6,107.5
2019-01-01,109.0,110.8,107.7
2019-04-01,110.0,112.1,108.6
2019-07-01,111.2,113.5,109.5
2019-10-01,112.4,115.5,110.3
2020-01-01,114.5,117.9,112.0
2020-04-01,116.3,119.9,113.8
2020-07-01,116.8,120.8,114.1
2020-10-01,119.6,122.8,117.3
2021-01-01,121.3,123.9,119.5
2021-04-01,123.5,125.5,122.1
2021-07-01,125.5,127.1,124.4
2021-10-01,128.0,128.2,127.7
2022-01-01,130.3,129.8,130.6
2022-04-01,132.0,131.2,132.6
2022-07-01,133.5,132.3,134.3
2022-10-01,133.9,132.7,134.9
2023-01-01,133.8,132.6,134.7
2023-04-01,132.7,131.3,133.7
2023-07-01,131.0,129.6,132.0
2023-10-01,128.7,127.2,129.8
2024-01-01,126.9,125.3,128.1
2024-04-01,126.2,124.8,127.2
2024-07-01,125.9,124.5,126.9
2024-10-01,125.9,124.8,126.7
2025-01-01,127.3,126.0,128.2
2025-04-01,126.8,125.6,127.8
2025-07-01,126.7,126.2,127.1
2025-10-01,127.1,126.5,127.6
2026-01-01,127.4,126.7,128.0
