Date,Prix_Neuf
2000-01-01,51.8
2000-04-01,52.4
2000-07-01,53.2
2000-10-01,53.6
2001-01-01,53.9
2001-04-01,54.6
2001-07-01,55.1
2001-10-01,56.8
2002-01-01,57.7
2002-04-01,58.8
2002-07-01,59.6
2002-10-01,60.8
2003-01-01,62.2
2003-04-01,63.4
2003-07-01,64.9
2003-10-01,66.2
2004-01-01,67.8
2004-04-01,69.5
2004-07-01,71.3
2004-10-01,73.1
2005-01-01,75.7
2005-04-01,77.8
2005-07-01,80.1
2005-10-01,82.3
2006-01-01,83.6
2006-04-01,85.4
2006-07-01,86.6
2006-10-01,88.1
2007-01-01,89.2
2007-04-01,89.8
2007-07-01,91.5
2007-10-01,91.3
2008-01-01,91.8
2008-04-01,92.8
2008-07-01,92.0
2008-10-01,91.1
2009-01-01,91.3
2009-04-01,91.6
2009-07-01,92.2
2009-10-01,93.0
2010-01-01,93.1
2010-04-01,94.0
2010-07-01,94.8
2010-10-01,96.5
2011-01-01,98.0
2011-04-01,98.8
2011-07-01,99.8
2011-10-01,100.0
2012-01-01,99.4
2012-04-01,99.1
2012-07-01,98.1
2012-10-01,97.5
2013-01-01,97.8
2013-04-01,97.7
2013-07-01,98.6
2013-10-01,98.6
2014-01-01,98.4
2014-04-01,97.7
2014-07-01,98.5
2014-10-01,98.8
2015-01-01,99.2
2015-04-01,100.0
2015-07-01,100.4
2015-10-01,100.3
2016-01-01,100.4
2016-04-01,101.1
2016-07-01,102.8
2016-10-01,103.1
2017-01-01,104.7
2017-04-01,105.4
2017-07-01,105.9
2017-10-01,106.9
2018-01-01,107.5
2018-04-01,108.0
2018-07-01,108.1
2018-10-01,109.9
2019-01-01,109.9
2019-04-01,112.0
2019-07-01,113.1
2019-10-01,114.2
2020-01-01,115.0
2020-04-01,114.5
2020-07-01,116.1
2020-10-01,117.1
2021-01-01,119.1
2021-04-01,120.3
2021-07-01,121.6
2021-10-01,123.5
2022-01-01,124.6
2022-04-01,127.9
2022-07-01,129.5
2022-10-01,130.2
2023-01-01,130.2
2023-04-01,130.4
2023-07-01,129.8
2023-10-01,129.0
2024-01-01,128.6
2024-04-01,128.5
2024-07-01,129.4
2024-10-01,129.7
2025-01-01,131.0
2025-04-01,131.3
2025-07-01,130.7
2025-10-01,130.6
2026-01-01,131.2
